name,description,pathway
BRCA2,breast cancer 2  early onset,Cell_Cycle
CCNE1,cyclin E1,Cell_Cycle
MRE11A,MRE11 meiotic recombination 11 homolog A (S. cerevisiae),Cell_Cycle
HOPX,HOP homeobox,Complete_Homeobox_(HOX)_Genes
MKX,mohawk homeobox,Complete_Homeobox_(HOX)_Genes
SIX6,SIX homeobox 6,Complete_Homeobox_(HOX)_Genes
ATF2,activating transcription factor 2,Complete_Human_Inflammatory_Response_&_Autoimmunity
CD274,CD274 molecule,Complete_Human_Inflammatory_Response_&_Autoimmunity
CXCL1,chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity  alpha),Complete_Human_Inflammatory_Response_&_Autoimmunity
IL12A,interleukin 12A (natural killer cell stimulatory factor 1  cytotoxic lymphocyte maturation factor 1  p35),Complete_Human_Inflammatory_Response_&_Autoimmunity
IL12B,interleukin 12B (natural killer cell stimulatory factor 2  cytotoxic lymphocyte maturation factor 2  p40),Complete_Human_Inflammatory_Response_&_Autoimmunity
IL15,interleukin 15,Complete_Human_Inflammatory_Response_&_Autoimmunity
NFKB1,nuclear factor of kappa light polypeptide gene enhancer in B-cells 1,Complete_Human_Inflammatory_Response_&_Autoimmunity
RIPK2,receptor-interacting serine-threonine kinase 2,Complete_Human_Inflammatory_Response_&_Autoimmunity
TLR2,toll-like receptor 2,Complete_Human_Inflammatory_Response_&_Autoimmunity
BRCA2,breast cancer 2  early onset,Complete_Human_Tumor_Suppressor_Genes
CDKN2A,cyclin-dependent kinase inhibitor 2A (melanoma  p16  inhibits CDK4),Complete_Human_Tumor_Suppressor_Genes
ING1,inhibitor of growth family  member 1,Complete_Human_Tumor_Suppressor_Genes
MDM2,Mdm2 p53 binding protein homolog (mouse),Complete_Human_Tumor_Suppressor_Genes
NFKB1,nuclear factor of kappa light polypeptide gene enhancer in B-cells 1,Complete_Human_Tumor_Suppressor_Genes
AR,androgen receptor,Complete_Stem_Cell_Transcription_Factors
DACH1,dachshund homolog 1 (Drosophila),Complete_Stem_Cell_Transcription_Factors
NFYA,nuclear transcription factor Y  alpha,Complete_Stem_Cell_Transcription_Factors
PCNA,proliferating cell nuclear antigen,Complete_Stem_Cell_Transcription_Factors
RUNX2,runt-related transcription factor 2,Complete_Stem_Cell_Transcription_Factors
SMAD2,SMAD family member 2,Complete_Stem_Cell_Transcription_Factors
SOX2,SRY (sex determining region Y)-box 2,Complete_Stem_Cell_Transcription_Factors
WRN,Werner syndrome  RecQ helicase-like,Complete_Stem_Cell_Transcription_Factors
ZFPM2,zinc finger protein  multitype 2,Complete_Stem_Cell_Transcription_Factors
DNAJB9,DnaJ (Hsp40) homolog  subfamily B  member 9,Complete_Stress_&_Toxicity
MDM2,Mdm2 p53 binding protein homolog (mouse),Complete_Stress_&_Toxicity
MRE11A,MRE11 meiotic recombination 11 homolog A (S. cerevisiae),Complete_Stress_&_Toxicity
NFKB1,nuclear factor of kappa light polypeptide gene enhancer in B-cells 1,Complete_Stress_&_Toxicity
PCNA,proliferating cell nuclear antigen,Complete_Stress_&_Toxicity
RAD17,RAD17 homolog (S. pombe),Complete_Stress_&_Toxicity
IL12A,interleukin 12A (natural killer cell stimulatory factor 1  cytotoxic lymphocyte maturation factor 1  p35),Cytokine_Production
TLR2,toll-like receptor 2,Cytokine_Production
BRCA2,breast cancer 2  early onset,DNA_Repair
MLH3,mutL homolog 3 (E. coli),DNA_Repair
MRE11A,MRE11 meiotic recombination 11 homolog A (S. cerevisiae),DNA_Repair
CTNNAL1,catenin (cadherin-associated protein)  alpha-like 1,Human_Epithelial_to_Mesenchymal_Transition_(EMT)
DSP,desmoplakin,Human_Epithelial_to_Mesenchymal_Transition_(EMT)
TGIF1,TGFB-induced factor homeobox 1,Human_Epithelial_to_Mesenchymal_Transition_(EMT)
YES1,v-yes-1 Yamaguchi sarcoma viral oncogene homolog 1,Human_Epithelial_to_Mesenchymal_Transition_(EMT)
HDAC2,histone deacetylase 2,Human_Notch_Signaling_Pathway
CD274,CD274 molecule,Human_T-Cell_B-Cell_Activation_Methylation
IL12A,interleukin 12A (natural killer cell stimulatory factor 1  cytotoxic lymphocyte maturation factor 1  p35),Human_T-Cell_B-Cell_Activation_Methylation
RIPK2,receptor-interacting serine-threonine kinase 2,Human_T-Cell_B-Cell_Activation_Methylation
IRF8,interferon regulatory factor 8,Human_T_Helper_Cell_Differentiation
PERP,PERP  TP53 apoptosis effector,Human_T_Helper_Cell_Differentiation
TGIF1,TGFB-induced factor homeobox 1,Human_T_Helper_Cell_Differentiation
TNFSF11,tumor necrosis factor (ligand) superfamily  member 11,Human_T_Helper_Cell_Differentiation
CDKN2A,cyclin-dependent kinase inhibitor 2A (melanoma  p16  inhibits CDK4),Human_Tumor_Suppressor_Genes
ATF2,activating transcription factor 2,Inflammatory_Response_&_Autoimmunity
IL12A,interleukin 12A (natural killer cell stimulatory factor 1  cytotoxic lymphocyte maturation factor 1  p35),Inflammatory_Response_&_Autoimmunity
