name,description,pathway
BRCA1,"breast cancer 1, early onset",Cell_Cycle
HOXB2,homeobox B2,Complete_Homeobox_(HOX)_Genes
HOXB3,homeobox B3,Complete_Homeobox_(HOX)_Genes
HOXB4,homeobox B4,Complete_Homeobox_(HOX)_Genes
HOXB6,homeobox B6,Complete_Homeobox_(HOX)_Genes
HOXB7,homeobox B7,Complete_Homeobox_(HOX)_Genes
HOXB8,homeobox B8,Complete_Homeobox_(HOX)_Genes
BRCA1,"breast cancer 1, early onset",Complete_Human_Tumor_Suppressor_Genes
DIRAS3,"DIRAS family, GTP-binding RAS-like 3",Complete_Human_Tumor_Suppressor_Genes
XRCC1,X-ray repair complementing defective repair in Chinese hamster cells 1,Complete_Human_Tumor_Suppressor_Genes
GATA6,GATA binding protein 6,Complete_Stem_Cell_Transcription_Factors
HOXB3,homeobox B3,Complete_Stem_Cell_Transcription_Factors
HOXB8,homeobox B8,Complete_Stem_Cell_Transcription_Factors
SOX9,SRY (sex determining region Y)-box 9,Complete_Stem_Cell_Transcription_Factors
STAT3,signal transducer and activator of transcription 3 (acute-phase response factor),Complete_Stem_Cell_Transcription_Factors
ATF4,activating transcription factor 4 (tax-responsive enhancer element B67),Complete_Stress_&_Toxicity
BRCA1,"breast cancer 1, early onset",Complete_Stress_&_Toxicity
ERCC1,"excision repair cross-complementing rodent repair deficiency, complementation group 1",Complete_Stress_&_Toxicity
GPX7,glutathione peroxidase 7,Complete_Stress_&_Toxicity
SMC1A,structural maintenance ofchromosomes 1A,Complete_Stress_&_Toxicity
XRCC1,X-ray repair complementing defective repair in Chinese hamster cells 1,Complete_Stress_&_Toxicity
ELANE,"elastase, neutrophil expressed",Cytokine_Production
BRCA1,"breast cancer 1, early onset",DNA_Repair
XRCC1,X-ray repair complementing defective repair in Chinese hamster cells 1,DNA_Repair
PSENEN,presenilin enhancer 2 homolog (C. elegans),Human_Notch_Signaling_Pathway
BRCA1,"breast cancer 1, early onset",Human_Tumor_Suppressor_Genes
CBX2,"chromobox homolog 2 (Pc class homolog, Drosophila)",Polycomb_&_Trithorax_Complexes
STAT3,signal transducer and activator of transcription 3 (acute-phase response factor),Stem_Cell_Transcription_Factors
IRAK1,interleukin-1 receptor-associated kinase 1,Toll-Like_Receptor_Signaling_Pathway
