"name","X","DATA_INDEX","CHROMOSOME","DATA_START","DATA_END","Peaks","FEATURE_TRACK","FEATURE_STRAND","FEATURE_START","FEATURE_END","SHORTEST_DISTANCE_FROM_FEATURE_TO_DATA_POINT","CENTER_TO_CENTER_DISTANCE_FROM_FEATURE_TO_DATA_POINT","ncbi_gene_id","Region","color","OTHER","description","accession","synonyms"
"APEX1",23180,8820,"chr14",20918364,20918807,3.1247,"transcription_start_site","+",20923289,20923289,-4482,-4702,328,"chr14:20923289-20923289",9900,"APEX,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr14:20923289-20923289&pix=800&Submit=submit,APE1,APX,APEN,REF1,HAP1","APEX nuclease (multifunctional DNA repair enzyme) 1","NM_080649","APE"
"ATF4",35272,13287,"chr22",39911218,39912359,3.8061,"transcription_start_site","+",39916568,39916568,-4209,-4780,468,"chr22:39916568-39916568",9900,"CREB2,TAXREB67,TXREB,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr22:39916568-39916568&pix=800&Submit=submit","activating transcription factor 4 (tax-responsive enhancer element B67)","NM_001675","CREB-2"
"BRCA1",28649,10790,"chr17",41281798,41282243,2.3366,"transcription_start_site","-",41277340,41277340,-4458,-4684,672,"chr17:41277340-41277340",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr17:41277340-41277340&pix=800&Submit=submit,BRCC1,RNF53,BROVCA1,IRIS,PSCP","breast cancer 1, early onset","NR_027676","BRCAI"
"CCS",19528,7478,"chr11",66359273,66359916,3.0138,"transcription_start_site","+",66360689,66360689,-773,-1096,9973,"chr11:66360689-66360689",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr11:66360689-66360689&pix=800&Submit=submit","copper chaperone for superoxide dismutase","NM_005125","MGC138260"
"CYP1A1",25096,9507,"chr15",75019237,75019704,2.453,"transcription_start_site","-",75017833,75017833,-1404,-1640,1543,"chr15:75017833-75017833",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr15:75017833-75017833&pix=800&Submit=submit,CP11,P450DX,CYP1,AHRR,P1-450,P450-C","cytochrome P450, family 1, subfamily A, polypeptide 1","BC023019","AHH"
"ERCC1",32038,12067,"chr19",45925174,45926276,4.003,"transcription_start_site","-",45926763,45926763,487,1036,2067,"chr19:45926763-45926763",9900,"UV20,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:45926763-45926763&pix=800&Submit=submit","excision repair cross-complementing rodent repair deficiency, complementation group 1 (includes overlapping antisense sequence)","BC052813","COFS4"
"GPX7",1222,474,"chr1",53069056,53070009,2.9684,"transcription_start_site","+",53068042,53068042,1014,1492,2882,"chr1:53068042-53068042",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:53068042-53068042&pix=800&Submit=submit,NPGPx,GPX6,FLJ14777","glutathione peroxidase 7","NM_015696","CL683"
"MT3",26529,10037,"chr16",56618360,56619011,2.6567,"transcription_start_site","+",56623266,56623266,-4255,-4576,4504,"chr16:56623266-56623266",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr16:56623266-56623266&pix=800&Submit=submit,GRIF,GIFB","metallothionein 3","NM_005954","GIF"
"PRDX5",19312,7409,"chr11",64079898,64080829,3.4752,"transcription_start_site","+",64085559,64085559,-4730,-5200,25824,"chr11:64085559-64085559",9900,"PLP,MGC142285,B166,PRDX6,SBBI10,MGC142283,PRXV,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr11:64085559-64085559&pix=800&Submit=submit,MGC117264,AOEB166,PMP20","peroxiredoxin 5","BC110983","ACR1"
"RAD9A",19584,7500,"chr11",67154971,67155430,3.2377,"transcription_start_site","+",67159422,67159422,-3992,-4224,5883,"chr11:67159422-67159422",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr11:67159422-67159422&pix=800&Submit=submit","RAD9 homolog A (S. pombe)","NM_004584","RAD9"
"RARA",28456,10731,"chr17",38495372,38495935,3.4485,"transcription_start_site","+",38498341,38498341,-2406,-2684,5914,"chr17:38498341-38498341",9900,"RAR,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr17:38498341-38498341&pix=800&Submit=submit","retinoic acid receptor, alpha","NM_001024809","NR1B1"
"SMC1A",36389,13656,"chrX",53452881,53453135,3.1764,"transcription_start_site","-",53449618,53449618,-3263,-3392,8243,"chrX:53449618-53449618",9900,"DXS423E,SMC1alpha,SMC1L1,SB1.8,SMCB,SMC1,KIAA0178,DKFZp686L19178,MGC138332,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:53449618-53449618&pix=800&Submit=submit","structural maintenance ofchromosomes 1A","NM_006306","CDLS2"
"TP53",27779,10468,"chr17",7579687,7580262,2.7607,"transcription_start_site","-",7578811,7578811,-876,-1163,7157,"chr17:7578811-7578811",9900,"TRP53,p53,LFS1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr17:7578811-7578811&pix=800&Submit=submit","tumor protein p53","NM_001126117","FLJ92943"
"TXNRD2",34707,13084,"chr22",19918444,19919021,3.5885,"transcription_start_site","-",19919951,19919951,930,1220,10587,"chr22:19919951-19919951",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr22:19919951-19919951&pix=800&Submit=submit,TR-BETA,TRXR2,TR3,TR","thioredoxin reductase 2","BC117354","SELZ"
"UNG",21991,8369,"chr12",109530491,109530656,2.3572,"transcription_start_site","+",109535414,109535414,-4758,-4840,7374,"chr12:109535414-109535414",9900,"HIGM4,UNG15,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr12:109535414-109535414&pix=800&Submit=submit,UNG2,UDG,DKFZp781L1143,UNG1","uracil-DNA glycosylase","NM_080911","DGU"
