"name","X","DATA_INDEX","CHROMOSOME","DATA_START","DATA_END","Peaks","FEATURE_TRACK","FEATURE_STRAND","FEATURE_START","FEATURE_END","SHORTEST_DISTANCE_FROM_FEATURE_TO_DATA_POINT","CENTER_TO_CENTER_DISTANCE_FROM_FEATURE_TO_DATA_POINT","ncbi_gene_id","Region","color","OTHER","description","accession","synonyms"
"AKT1",24278,9211,"chr14",105264762,105265187,2.9594,"transcription_start_site","-",105259938,105259938,-4824,-5040,207,"chr14:105259938-105259938",9900,"PKB-ALPHA,PKB,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr14:105259938-105259938&pix=800&Submit=submit,RAC-ALPHA,PRKBA,RAC,MGC99656","v-akt murine thymoma viral oncogene homolog 1","NM_005163","AKT"
"BCL2",30234,11398,"chr18",60984709,60985162,2.9558,"transcription_start_site","-",60986509,60986509,1347,1572,596,"chr18:60986509-60986509",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr18:60986509-60986509&pix=800&Submit=submit","B-cell CLL/lymphoma 2","BC027258","Bcl-2"
"BCR",34815,13128,"chr22",23518948,23519091,2.1135,"transcription_start_site","+",23522551,23522551,-3460,-3532,613,"chr22:23522551-23522551",9900,"D22S662,BCR1,PHL,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr22:23522551-23522551&pix=800&Submit=submit,CML,FLJ16453,D22S11","breakpoint cluster region","NM_021574","ALL"
"BRCA1",28649,10790,"chr17",41281798,41282243,2.3366,"transcription_start_site","-",41277340,41277340,-4458,-4684,672,"chr17:41277340-41277340",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr17:41277340-41277340&pix=800&Submit=submit,BRCC1,RNF53,BROVCA1,IRIS,PSCP","breast cancer 1, early onset","NR_027676","BRCAI"
"CDX2",22575,8583,"chr13",28547367,28548029,3.8356,"transcription_start_site","-",28543317,28543317,-4050,-4382,1045,"chr13:28543317-28543317",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr13:28543317-28543317&pix=800&Submit=submit,CDX3","caudal type homeobox 2","NM_001265","CDX-3"
"CHFR",22411,8524,"chr12",133468192,133470270,3.1277,"transcription_start_site","-",133463922,133463922,-4270,-5312,55743,"chr12:133463922-133463922",9900,"FLJ33629,RNF116,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr12:133463922-133463922&pix=800&Submit=submit,RNF196","checkpoint with forkhead and ring finger domains","BC012072","FLJ10796"
"DIRAS3",1383,533,"chr1",68515389,68516311,2.7082,"transcription_start_site","-",68516312,68516312,1,456,9077,"chr1:68516312-68516312",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:68516312-68516312&pix=800&Submit=submit,NOEY2","DIRAS family, GTP-binding RAS-like 3","BC005362","ARHI"
"ERBB2",28408,10715,"chr17",37842062,37842191,2.5743,"transcription_start_site","+",37844392,37844392,-2201,-2264,2064,"chr17:37844392-37844392",9900,"NGL,NEU,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr17:37844392-37844392&pix=800&Submit=submit,HER2,HER-2/neu,TKR1,HER-2","v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)","NM_001005862","CD340"
"IGF2R",12244,4659,"chr6",160387764,160388432,3.1666,"transcription_start_site","+",160390130,160390130,-1698,-2032,3482,"chr6:160390130-160390130",9900,"MPRI,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr6:160390130-160390130&pix=800&Submit=submit,CIMPR,M6P-R,MPR1","insulin-like growth factor 2 receptor","NM_000876","CD222"
"MGMT",18106,6982,"chr10",131263302,131263748,3.0736,"transcription_start_site","+",131265453,131265453,-1705,-1936,4255,"chr10:131265453-131265453",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr10:131265453-131265453&pix=800&Submit=submit","O-6-methylguanine-DNA methyltransferase","NM_002412","-"
"NEUROG1",9772,3758,"chr5",134874385,134874615,3.2402,"transcription_start_site","-",134871639,134871639,-2746,-2864,4762,"chr5:134871639-134871639",9900,"bHLHa6,NEUROD3,Math4C,ngn1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr5:134871639-134871639&pix=800&Submit=submit","neurogenin 1","NM_006161","AKA"
"RASSF1",6359,2400,"chr3",50376207,50376739,2.8309,"transcription_start_site","-",50374895,50374895,-1312,-1576,11186,"chr3:50374895-50374895",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr3:50374895-50374895&pix=800&Submit=submit,NORE2A,REH3P21,RDA32,RASSF1A","Ras association (RalGDS/AF-6) domain family member 1","NM_170713","123F2"
"SFRP2",8729,3344,"chr4",154711225,154711581,3.6087,"transcription_start_site","-",154710208,154710208,-1017,-1200,6423,"chr4:154710208-154710208",9900,"SARP1,SDF-5,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr4:154710208-154710208&pix=800&Submit=submit","secreted frizzled-related protein 2","BC008666","FRP-2"
