"","DATA_INDEX","CHROMOSOME","DATA_START","DATA_END","Peaks","FEATURE_TRACK","FEATURE_STRAND","FEATURE_START","FEATURE_END","SHORTEST_DISTANCE_FROM_FEATURE_TO_DATA_POINT","CENTER_TO_CENTER_DISTANCE_FROM_FEATURE_TO_DATA_POINT","ACC","ncbi_gene_id","Name","Region","color","OTHER","description","ID","accession","synonyms","X"
"14902","36681","chrX","67719880","67720034","2.3857","transcription_start_site","+","67718885",67718885,995,1064,"",286451,"YIPF6","chrX:67718885-67718885","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:67718885-67718885&pix=800&Submit=submit,MGC21416","Yip1 domain family, member 6","","NM_173834","FinGER6",""
"1055","24695","chr1","46807415","46809396","4.5664","transcription_start_site","+","46806427",46806427,988,1980,"",387338,"NSUN4","chr1:46806427-46806427","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:46806427-46806427&pix=800&Submit=submit,RP4-603I14.2","NOP2/Sun domain family, member 4","","BC014441","MGC22960",""
"1111","24719","chr1","53069056","53070009","2.9684","transcription_start_site","+","53068069",53068069,987,1464,"",2882,"GPX7","chr1:53068069-53068069","009900","NPGPx,GPX6,FLJ14777,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:53068069-53068069&pix=800&Submit=submit","glutathione peroxidase 7","","BC032788","CL683",""
"11100","7016","chr19","8566266","8566509","2.8133","transcription_start_site","-","8567495",8567495,986,1107,"",84106,"PRAM1","chr19:8567495-8567495","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:8567495-8567495&pix=800&Submit=submit,PML-RAR,PRAM-1","PML-RARA regulated adaptor molecule 1","","NM_032152","MGC39864",""
"11370","34914","chr19","16179288","16180567","2.9318","transcription_start_site","+","16178316",16178316,972,1612,"",7171,"TPM4","chr19:16178316-16178316","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:16178316-16178316&pix=800&Submit=submit","tropomyosin 4","","NM_001145160","-",""
"14021","36385","chr22","45606786","45607375","3.61","transcription_start_site","-","45608347",45608347,972,1268,"",23313,"C22orf9","chr22:45608347-45608347","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr22:45608347-45608347&pix=800&Submit=submit","chromosome 22 open reading frame 9","","NM_015264","-",""
"2400","25183","chr1","196913876","196914015","2.3482","transcription_start_site","+","196912910",196912910,966,1040,"",3080,"CFHR2","chr1:196912910-196912910","009900","HFL3,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:196912910-196912910&pix=800&Submit=submit,FHR2","complement factor H-related 2","","BC022283","CFHL2",""
"11744","35049","chr19","37095095","37095222","2.4724","transcription_start_site","-","37096178",37096178,956,1016,"",57711,"ZNF529","chr19:37096178-37096178","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:37096178-37096178&pix=800&Submit=submit","zinc finger protein 529","","NM_001145650","KIAA1615",""
"400","24455","chr1","19637184","19637613","3.5581","transcription_start_site","-","19638567",19638567,954,1170,"",8574,"AKR7A2","chr1:19638567-19638567","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:19638567-19638567&pix=800&Submit=submit,AKR7,AFB1-AR1,AFAR1","aldo-keto reductase family 7, member A2 (aflatoxin aldehyde reductase)","","BC004111","AFAR",""
"12151","35190","chr19","45543238","45543773","3.2366","transcription_start_site","+","45542297",45542297,941,1208,"",11129,"SFRS16","chr19:45542297-45542297","009900","SWAP2,FLJ90109,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:45542297-45542297&pix=800&Submit=submit","splicing factor, arginine/serine-rich 16","","NM_007056","CLASP",""
"9267","34094","chr17","43566411","43567176","2.6602","transcription_start_site","-","43568110",43568110,934,1320,"",9842,"PLEKHM1","chr17:43568110-43568110","009900","B2,KIAA0356,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr17:43568110-43568110&pix=800&Submit=submit,OPTB6","pleckstrin homology domain containing, family M (with RUN domain) member 1","","BC064361","AP162",""
"11941","35110","chr19","40769320","40770287","2.3794","transcription_start_site","-","40771219",40771219,932,1416,"",208,"AKT2","chr19:40771219-40771219","009900","RAC-BETA,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr19:40771219-40771219&pix=800&Submit=submit,PRKBB,PKBBETA","v-akt murine thymoma viral oncogene homolog 2","","BC120994","PKBB",""
"2544","25243","chr1","206681801","206682048","2.2165","transcription_start_site","+","206680878",206680878,923,1040,"",83593,"RASSF5","chr1:206680878-206680878","009900","RASSF3,RAPL,MGC17344,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:206680878-206680878&pix=800&Submit=submit,NORE1,NORE1B,NORE1A,Maxp1","Ras association (RalGDS/AF-6) domain family member 5","","NM_182664","MGC10823",""
