"","DATA_INDEX","CHROMOSOME","DATA_START","DATA_END","Peaks","FEATURE_TRACK","FEATURE_STRAND","FEATURE_START","FEATURE_END","SHORTEST_DISTANCE_FROM_FEATURE_TO_DATA_POINT","CENTER_TO_CENTER_DISTANCE_FROM_FEATURE_TO_DATA_POINT","ACC","ncbi_gene_id","Name","Region","color","OTHER","description","ID","accession","synonyms","X"
"973","11055","chr1","100596896",100597447,2.5001,"transcription_start_site","-",100598444,100598444,997,1280,"",163786,"SASS6","chr1:100598444-100598444","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:100598444-100598444&pix=800&Submit=submit,SAS-6,SAS6,MGC119440","spindle assembly 6 homolog (C. elegans)","","BC101026","FLJ22097",""
"13865","21108","chrX","101143751",101144101,2.3629,"transcription_start_site","-",101145094,101145094,993,1168,"",84460,"ZMAT1","chrX:101145094-101145094","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:101145094-101145094&pix=800&Submit=submit,MGC176597,MGC176728","zinc finger, matrin type 1","","BC140920","KIAA1789",""
"13373","20926","chrX","42636389",42636554,2.1992,"transcription_start_site","-",42637486,42637486,932,1016,"",80316,"PPP1R2P9","chrX:42637486-42637486","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:42637486-42637486&pix=800&Submit=submit","protein phosphatase 1, regulatory (inhibitor) subunit 2 pseudogene 9","","NR_002191","I-4",""
"14051","21173","chrX","107680156",107680644,2.9743,"transcription_start_site","-",107681556,107681556,912,1152,"",1288,"COL4A6","chrX:107681556-107681556","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:107681556-107681556&pix=800&Submit=submit","collagen, type IV, alpha 6","","BC144669","MGC88184",""
"1184","11124","chr1","113163355",113163905,3.3032,"transcription_start_site","+",113162449,113162449,906,1184,"",829,"CAPZA1","chr1:113162449-113162449","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:113162449-113162449&pix=800&Submit=submit,CAZ1,CAPZ","capping protein (actin filament) muscle Z-line, alpha 1","","BC000144","CAPPA1",""
"14196","21237","chrX","122994940",122995800,2.77,"transcription_start_site","+",122994047,122994047,893,1328,"",331,"XIAP","chrX:122994047-122994047","009900","XLP2,MIHA,BIRC4,ILP1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:122994047-122994047&pix=800&Submit=submit","X-linked inhibitor of apoptosis","","NM_001167","API3",""
"13613","21017","chrX","77149190",77150037,3.1025,"transcription_start_site","-",77150912,77150912,875,1296,"",84061,"MAGT1","chrX:77150912-77150912","009900","PRO0756,MGC64926,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:77150912-77150912&pix=800&Submit=submit,bA217H1.1,FLJ14726,OST3B,IAP","magnesium transporter 1","","BC041014","DKFZp564K142",""
"634","10913","chr1","76396468",76397229,2.9625,"transcription_start_site","-",76398094,76398094,865,1248,"",127247,"ASB17","chr1:76398094-76398094","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:76398094-76398094&pix=800&Submit=submit","ankyrin repeat and SOCS box-containing 17","","BC036573","Asb-17",""
"13098","20811","chrX","15286811",15287329,2.8112,"transcription_start_site","-",15288173,15288173,844,1103,"",140462,"ASB9","chrX:15288173-15288173","009900","MGC4954,FLJ20636,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:15288173-15288173&pix=800&Submit=submit","ankyrin repeat and SOCS box-containing 9","","BC001244","DKFZp564L0862",""
"14353","21296","chrX","138723389",138724129,2.8106,"transcription_start_site","-",138724971,138724971,842,1216,"",4168,"MCF2","chrX:138724971-138724971","009900","http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chrX:138724971-138724971&pix=800&Submit=submit","MCF.2 cell line derived transforming sequence","","NM_005369","DBL",""
