"","DATA_INDEX","CHROMOSOME","DATA_START","DATA_END","Peaks","FEATURE_TRACK","FEATURE_STRAND","FEATURE_START","FEATURE_END","SHORTEST_DISTANCE_FROM_FEATURE_TO_DATA_POINT","CENTER_TO_CENTER_DISTANCE_FROM_FEATURE_TO_DATA_POINT","ncbi_gene_id","Name","Region","color","OTHER","description","accession","synonyms"
"8904",3422,"chr4",185717557,185718700,4.4872,"transcription_start_site","-",185720200,185720200,1500,2064,643036,"SLED1","chr4:185720200-185720200",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr4:185720200-185720200&pix=800&Submit=submit","RTFV9368","NR_003542","SLED1"
"22189",8430,"chr12",121408026,121408595,2.9843,"transcription_start_site","-",121410095,121410095,1500,1792,283460,"C12orf27","chr12:121410095-121410095",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr12:121410095-121410095&pix=800&Submit=submit","chromosome 12 open reading frame 27","NR_024345","FLJ38690"
"28625",10783,"chr17",40952308,40952650,2.3476,"transcription_start_site","+",40950809,40950809,1499,1672,124817,"CNTD1","chr17:40950809-40950809",9900,"FLJ40137,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr17:40950809-40950809&pix=800&Submit=submit","cyclin N-terminal domain containing 1","BC026187","CNTD"
"22337",8491,"chr12",129306106,129307018,2.644,"transcription_start_site","-",129308516,129308516,1498,1952,121260,"SLC15A4","chr12:129308516-129308516",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr12:129308516-129308516&pix=800&Submit=submit,PHT1,PTR4","solute carrier family 15, member 4","BC146803","FP12591"
"26247",9926,"chr16",29829329,29830626,2.4177,"transcription_start_site","+",29827831,29827831,1498,2144,79447,"C16orf53","chr16:29827831-29827831",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr16:29827831-29827831&pix=800&Submit=submit,MGC4606,GAS,PA1","chromosome 16 open reading frame 53","BC003640","FLJ22459"
"11832",4480,"chr6",109773250,109773930,2.6479,"transcription_start_site","-",109775424,109775424,1494,1840,64780,"MICAL1","chr6:109775424-109775424",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr6:109775424-109775424&pix=800&Submit=submit,FLJ21739,MICAL,FLJ11937,MICAL-1,NICAL","microtubule associated monoxygenase, calponin and LIM domain containing 1","BC052983","DKFZp434B1517"
"20458",7820,"chr11",129815103,129815862,3.5105,"transcription_start_site","-",129817356,129817356,1494,1872,56980,"PRDM10","chr11:129817356-129817356",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr11:129817356-129817356&pix=800&Submit=submit,PFM7,MGC131802","PR domain containing 10","BC117415","KIAA1231"
"27912",10524,"chr17",12694570,12695647,2.1301,"transcription_start_site","+",12693076,12693076,1494,2032,9912,"RICH2","chr17:12693076-12693076",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr17:12693076-12693076&pix=800&Submit=submit,NPC-A-10","Rho-type GTPase-activating protein RICH2","BC143853","KIAA0672"
"20286",7744,"chr11",120083234,120083377,2.0943,"transcription_start_site","+",120081746,120081746,1488,1560,220323,"OAF","chr11:120081746-120081746",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr11:120081746-120081746&pix=800&Submit=submit,NS5ATP13TP2","OAF homolog (Drosophila)","NM_178507","MGC52117"
"27289",10320,"chr17",1647804,1648633,3.3076,"transcription_start_site","+",1646319,1646319,1485,1899,5345,"SERPINF2","chr17:1646319-1646319",9900,"API,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr17:1646319-1646319&pix=800&Submit=submit,AAP,PLI,ALPHA-2-PI","serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2","NM_001165920","A2AP"
