"name","X","DATA_INDEX","CHROMOSOME","DATA_START","DATA_END","Peaks","FEATURE_TRACK","FEATURE_STRAND","FEATURE_START","FEATURE_END","SHORTEST_DISTANCE_FROM_FEATURE_TO_DATA_POINT","CENTER_TO_CENTER_DISTANCE_FROM_FEATURE_TO_DATA_POINT","ncbi_gene_id","Region","color","OTHER","description","accession","synonyms"
"BCL6",7472,2839,"chr3",187467566,187468196,2.5858,"transcription_start_site","-",187463228,187463228,-4338,-4640,604,"chr3:187463228-187463228",9900,"LAZ3,BCL6A,ZNF51,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr3:187463228-187463228&pix=800&Submit=submit,ZBTB27","B-cell CLL/lymphoma 6","BC142705","BCL5"
"CD276",25074,9498,"chr15",73972174,73972625,2.2505,"transcription_start_site","+",73976621,73976621,-3996,-4224,80381,"chr15:73976621-73976621",9900,"B7H3,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr15:73976621-73976621&pix=800&Submit=submit","CD276 molecule","NM_025240","B7-H3"
"CXCL5",8240,3159,"chr4",74865050,74865207,2.2726,"transcription_start_site","-",74864397,74864397,-653,-728,6374,"chr4:74864397-74864397",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr4:74864397-74864397&pix=800&Submit=submit,SCYB5","chemokine (C-X-C motif) ligand 5","BC008376","ENA-78"
"IL10RB",34250,12899,"chr21",34636621,34636903,2.0913,"transcription_start_site","+",34638671,34638671,-1768,-1912,3588,"chr21:34638671-34638671",9900,"CRF2-4,D21S58,D21S66,IL-10R2,CRFB4,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr21:34638671-34638671&pix=800&Submit=submit","interleukin 10 receptor, beta","NM_000628","CDW210B"
"IL17RA",34619,13050,"chr22",17567374,17567946,2.8467,"transcription_start_site","+",17565904,17565904,1470,1756,23765,"chr22:17565904-17565904",9900,"IL17R,IL-17RA,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr22:17565904-17565904&pix=800&Submit=submit,hIL-17R,MGC10262,CDw217","interleukin 17 receptor A","BC011624","CD217"
"IL4R",26172,9897,"chr16",27322574,27322703,2.5245,"transcription_start_site","+",27325250,27325250,-2547,-2610,3566,"chr16:27325250-27325250",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr16:27325250-27325250&pix=800&Submit=submit,IL4RA","interleukin 4 receptor","NM_000418","CD124"
"IL6ST",9278,3574,"chr5",55281595,55282365,2.7545,"transcription_start_site","-",55278641,55278641,-2954,-3340,3572,"chr5:55278641-55278641",9900,"CDw130,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr5:55278641-55278641&pix=800&Submit=submit,IL6R-beta,GP130,GP130-RAPS","interleukin 6 signal transducer (gp130, oncostatin M receptor)","BC117402","CD130"
"INHBA",12995,4953,"chr7",41741398,41741853,2.9829,"transcription_start_site","-",41742675,41742675,822,1052,3624,"chr7:41742675-41742675",9900,"FRP,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr7:41742675-41742675&pix=800&Submit=submit","inhibin, beta A","BC007858","EDF"
"IRF1",9723,3744,"chr5",131827436,131827683,2.7285,"transcription_start_site","-",131826434,131826434,-1002,-1128,3659,"chr5:131826434-131826434",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr5:131826434-131826434&pix=800&Submit=submit,MAR","interferon regulatory factor 1","BC009483","IRF-1"
"LTB4R",23354,8879,"chr14",24774357,24775808,3.5248,"transcription_start_site","+",24780704,24780704,-4896,-5622,1241,"chr14:24780704-24780704",9900,"CMKRL1,P2RY7,BLTR,LTB4R1,LTBR1,GPR16,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr14:24780704-24780704&pix=800&Submit=submit,P2Y7","leukotriene B4 receptor","NM_001143919","BLT1"
