"name","X","DATA_INDEX","CHROMOSOME","DATA_START","DATA_END","Peaks","FEATURE_TRACK","FEATURE_STRAND","FEATURE_START","FEATURE_END","SHORTEST_DISTANCE_FROM_FEATURE_TO_DATA_POINT","CENTER_TO_CENTER_DISTANCE_FROM_FEATURE_TO_DATA_POINT","ncbi_gene_id","Region","color","OTHER","description","accession","synonyms"
"CDX2",22575,8583,"chr13",28547367,28548029,3.8356,"transcription_start_site","-",28543317,28543317,-4050,-4382,1045,"chr13:28543317-28543317",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr13:28543317-28543317&pix=800&Submit=submit,CDX3","caudal type homeobox 2","NM_001265","CDX-3"
"DLX1",4822,1809,"chr2",172947815,172948582,2.3986,"transcription_start_site","+",172950207,172950207,-1625,-2016,1745,"chr2:172950207-172950207",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr2:172950207-172950207&pix=800&Submit=submit","distal-less homeobox 1","NM_001038493","-"
"EGR3",14558,5560,"chr8",22553876,22554427,2.7281,"transcription_start_site","-",22550554,22550554,-3322,-3598,1960,"chr8:22550554-22550554",9900,"PILOT,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr8:22550554-22550554&pix=800&Submit=submit","early growth response 3","BC112279","MGC138484"
"GATA6",29966,11292,"chr18",19746840,19747894,2.5825,"transcription_start_site","+",19749415,19749415,-1521,-2048,2627,"chr18:19749415-19749415",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr18:19749415-19749415&pix=800&Submit=submit","GATA binding protein 6","NM_005257","-"
"GBX2",5519,2077,"chr2",237074212,237075449,3.6018,"transcription_start_site","-",237076652,237076652,1203,1824,2637,"chr2:237076652-237076652",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr2:237076652-237076652&pix=800&Submit=submit","gastrulation brain homeobox 2","NM_001485","-"
"HAND1",10379,3932,"chr5",153854936,153856767,3.7346,"transcription_start_site","-",153857793,153857793,1026,1936,9421,"chr5:153857793-153857793",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr5:153857793-153857793&pix=800&Submit=submit,Thing1,eHand,bHLHa27","heart and neural crest derivatives expressed 1","BC021190","Hxt"
"HOXA11",12890,4909,"chr7",27227674,27228345,2.8784,"transcription_start_site","-",27224835,27224835,-2839,-3172,3207,"chr7:27224835-27224835",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr7:27224835-27224835&pix=800&Submit=submit,HOX1I","homeobox A11","NM_005523","HOX1"
"HOXA2",12853,4895,"chr7",27141073,27141342,2.6808,"transcription_start_site","-",27142148,27142148,806,940,3199,"chr7:27142148-27142148",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr7:27142148-27142148&pix=800&Submit=submit","homeobox A2","BC130571","HOX1K"
"HOXA3",12859,4897,"chr7",27163068,27163527,3.6742,"transcription_start_site","-",27159214,27159214,-3854,-4084,3200,"chr7:27159214-27159214",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr7:27159214-27159214&pix=800&Submit=submit,MGC10155,HOX1E","homeobox A3","NM_030661","HOX1"
"HOXA7",12872,4902,"chr7",27193125,27194889,2.6057,"transcription_start_site","-",27196164,27196164,1275,2158,3204,"chr7:27196164-27196164",9900,"HOX1.1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr7:27196164-27196164&pix=800&Submit=submit,HOX1,HOX1A","homeobox A7","BC148692","ANTP"
