"","DATA_INDEX","CHROMOSOME","DATA_START","DATA_END","Peaks","FEATURE_TRACK","FEATURE_STRAND","FEATURE_START","FEATURE_END","SHORTEST_DISTANCE_FROM_FEATURE_TO_DATA_POINT","CENTER_TO_CENTER_DISTANCE_FROM_FEATURE_TO_DATA_POINT","ncbi_gene_id","Name","Region","color","OTHER","description","accession","synonyms"
"25517",77511,"chr17",10367898,10368565,3.3849,"transcription_start_site","-",10370064,10370064,1499,1832,4622,"MYH4","chr17:10370064-10370064",9900,"MyHC-2B,MyHC-IIb,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr17:10370064-10370064&pix=800&Submit=submit","myosin, heavy chain 4, skeletal muscle","BC157120","MYH2B"
"16374",74014,"chr9",15248549,15248702,2.2917,"transcription_start_site","-",15250198,15250198,1496,1572,158219,"TTC39B","chr9:15250198-15250198",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr9:15250198-15250198&pix=800&Submit=submit,FLJ33868","tetratricopeptide repeat domain 39B","NM_001168342","C9orf52"
"14978",73481,"chr8",29118912,29119060,2.3673,"transcription_start_site","-",29120551,29120551,1491,1566,23303,"KIF13B","chr8:29120551-29120551",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr8:29120551-29120551&pix=800&Submit=submit,KIAA0639","kinesin family member 13B","BC172411","GAKIN"
"15990",73864,"chr8",110101216,110102282,3.3093,"transcription_start_site","+",110099725,110099725,1491,2016,7201,"TRHR","chr8:110099725-110099725",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr8:110099725-110099725&pix=800&Submit=submit","thyrotropin-releasing hormone receptor","NM_003301","MGC141920"
"20577",75635,"chr11",121165063,121165621,2.9357,"transcription_start_site","+",121163576,121163576,1487,1768,6309,"SC5DL","chr11:121163576-121163576",9900,"S5DES,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr11:121163576-121163576&pix=800&Submit=submit,SC5D","sterol-C5-desaturase (ERG3 delta-5-desaturase homolog, S. cerevisiae)-like","NM_001024956","ERG3"
"25031",41287,"chr15",101082349,101082990,3.4844,"transcription_start_site","-",101084476,101084476,1486,1808,204219,"LASS3","chr15:101084476-101084476",9900,"MGC27091,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr15:101084476-101084476&pix=800&Submit=submit","LAG1 homolog, ceramide synthase 3","BC028703","CerS3"
"11529",72155,"chr6",42790275,42790835,2.4957,"transcription_start_site","+",42788793,42788793,1482,1764,23506,"KIAA0240","chr6:42788793-42788793",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr6:42788793-42788793&pix=800&Submit=submit","KIAA0240","NM_015349","DKFZp686P0250"
"14000",73112,"chr7",91869822,91869973,2.2738,"transcription_start_site","-",91871453,91871453,1480,1552,889,"KRIT1","chr7:91871453-91871453",9900,"CCM1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr7:91871453-91871453&pix=800&Submit=submit","KRIT1, ankyrin repeat containing","BC094684","CAM"
"14098",73143,"chr7",94281998,94283982,3.5994,"transcription_start_site","-",94285458,94285458,1476,2464,8910,"SGCE","chr7:94285458-94285458",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr7:94285458-94285458&pix=800&Submit=submit,ESG","sarcoglycan, epsilon","BC021709","DYT11"
"14784",73410,"chr8",16042024,16042285,2.3551,"transcription_start_site","-",16043761,16043761,1476,1607,4481,"MSR1","chr8:16043761-16043761",9900,"SR-A,SCARA1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr8:16043761-16043761&pix=800&Submit=submit,phSR2,phSR1","macrophage scavenger receptor 1","BC063878","CD204"
"21121",75839,"chr12",11060169,11060421,2.8923,"transcription_start_site","-",11061897,11061897,1476,1602,50838,"TAS2R13","chr12:11061897-11061897",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr12:11061897-11061897&pix=800&Submit=submit,TRB3","taste receptor, type 2, member 13","BC069376","T2R13"
"896",68168,"chr1",89830910,89831865,3.6476,"transcription_start_site","+",89829435,89829435,1475,1960,163351,"GBP6","chr1:89829435-89829435",9900,"FLJ39135,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:89829435-89829435&pix=800&Submit=submit","guanylate binding protein family, member 6","NM_198460","DKFZp686G0786"
"6970",70476,"chr4",39701138,39701972,3.3468,"transcription_start_site","+",39699663,39699663,1475,1888,3093,"UBE2K","chr4:39699663-39699663",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr4:39699663-39699663&pix=800&Submit=submit,LIG,E2-25K,HYPG,DKFZp686J24237,HIP2","ubiquitin-conjugating enzyme E2K (UBC1 homolog, yeast)","NM_005339","DKFZp564C1216"
"9362",71400,"chr5",42810027,42810499,2.4906,"transcription_start_site","-",42811974,42811974,1475,1712,6414,"SEPP1","chr5:42811974-42811974",9900,"SeP,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr5:42811974-42811974&pix=800&Submit=submit","selenoprotein P, plasma, 1","BC040075","SELP"
"23833",76859,"chr14",51001272,51002224,3.4272,"transcription_start_site","+",50999799,50999799,1473,1948,51062,"ATL1","chr14:50999799-50999799",9900,"SPG3,FSP1,SPG3A,atlastin1,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr14:50999799-50999799&pix=800&Submit=submit,GBP3","atlastin GTPase 1","NM_001127713","AD-FSP"
"1469",68363,"chr1",120351575,120352603,2.5945,"transcription_start_site","-",120354075,120354075,1472,1984,83998,"REG4","chr1:120354075-120354075",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:120354075-120354075&pix=800&Submit=submit,RELP,REG-IV","regenerating islet-derived family, member 4","BC017089","GISP"
"9122",71311,"chr5",5141912,5142150,2.6692,"transcription_start_site","+",5140442,5140442,1470,1589,170690,"ADAMTS16","chr5:5140442-5140442",9900,"FLJ16731,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr5:5140442-5140442&pix=800&Submit=submit","ADAM metallopeptidase with thrombospondin type 1 motif, 16","NM_139056","ADAMTS16s"
"14402",73257,"chr7",123171402,123171536,2.6248,"transcription_start_site","-",123173002,123173002,1466,1528,154865,"IQUB","chr7:123173002-123173002",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr7:123173002-123173002&pix=800&Submit=submit,MGC149285,MGC149284","IQ motif and ubiquitin domain containing","BC036121","FLJ35834"
"4586",69588,"chr3",27496155,27496712,2.2186,"transcription_start_site","-",27498174,27498174,1462,1740,9497,"SLC4A7","chr3:27498174-27498174",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr3:27498174-27498174&pix=800&Submit=submit,NBC3,NBC2,SBC2,SLC4A6","solute carrier family 4, sodium bicarbonate cotransporter, member 7","BC172463","DKFZp686H168"
"25177",77370,"chr16",18811025,18811400,2.6152,"transcription_start_site","-",18812857,18812857,1457,1644,23204,"ARL6IP1","chr16:18812857-18812857",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr16:18812857-18812857&pix=800&Submit=submit,KIAA0069,ARL6IP,ARMER","ADP-ribosylation factor-like 6 interacting protein 1","NM_015161","AIP1"
"8306",70997,"chr4",121841708,121842361,2.5604,"transcription_start_site","-",121843808,121843808,1447,1776,11107,"PRDM5","chr4:121843808-121843808",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr4:121843808-121843808&pix=800&Submit=submit","PR domain containing 5","BC121037","PFM2"
"4329",69473,"chr2",234546545,234546923,2.9153,"transcription_start_site","+",234545099,234545099,1446,1632,54575,"UGT1A10","chr2:234545099-234545099",9900,"UGT1J,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr2:234545099-234545099&pix=800&Submit=submit","UDP glucuronosyltransferase 1 family, polypeptide A10","BC020971","UDPGT"
"15285",73597,"chr8",57903779,57904933,2.4371,"transcription_start_site","-",57906379,57906379,1446,2024,54928,"IMPAD1","chr8:57906379-57906379",9900,"IMPA3,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr8:57906379-57906379&pix=800&Submit=submit","inositol monophosphatase domain containing 1","BC017797","FLJ20421"
"26439",77881,"chr18",31800715,31801748,2.6534,"transcription_start_site","-",31803194,31803194,1446,1962,8715,"NOL4","chr18:31803194-31803194",9900,"NOLP,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr18:31803194-31803194&pix=800&Submit=submit","nucleolar protein 4","BC000313","HRIHFB2255"
"3549",69151,"chr2",163172996,163173441,2.7493,"transcription_start_site","-",163174885,163174885,1444,1664,64135,"IFIH1","chr2:163174885-163174885",9900,"MGC133047,MDA5,MDA-5,IDDM19,http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr2:163174885-163174885&pix=800&Submit=submit","interferon induced with helicase C domain 1","BC111750","Hlcd"
"22510",76374,"chr13",19916130,19917669,2.9697,"transcription_start_site","-",19919113,19919113,1444,2212,100101938,"LOC100101938","chr13:19919113-19919113",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr13:19919113-19919113&pix=800&Submit=submit,LOC100101938","ankyrin repeat domain 26 pseudogene","NR_027248","KIAA1074"
"14793",73414,"chr8",16858012,16858169,2.6406,"transcription_start_site","-",16859612,16859612,1443,1522,26281,"FGF20","chr8:16859612-16859612",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr8:16859612-16859612&pix=800&Submit=submit","fibroblast growth factor 20","BC137446","-"
"3863",69280,"chr2",189596948,189598233,3.5086,"transcription_start_site","-",189599675,189599675,1442,2080,116093,"DIRC1","chr2:189599675-189599675",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr2:189599675-189599675&pix=800&Submit=submit","disrupted in renal carcinoma 1","BC125137","-"
"11648",72209,"chr6",49702335,49703670,3.4575,"transcription_start_site","-",49705111,49705111,1441,2108,10321,"CRISP3","chr6:49705111-49705111",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr6:49705111-49705111&pix=800&Submit=submit,MGC126588,CRS3,dJ442L6.3,CRISP-3,SGP28","cysteine-rich secretory protein 3","BC069580","Aeg2"
"17242",74344,"chr9",125665185,125666121,3.388,"transcription_start_site","-",125667562,125667562,1441,1912,54542,"RC3H2","chr9:125667562-125667562",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr9:125667562-125667562&pix=800&Submit=submit,MNAB,RNF164,MGC52176,FLJ20713","ring finger and CCCH-type zinc finger domains 2","NM_018835","FLJ20301"
"1639",68438,"chr1",158685977,158686513,3.2049,"transcription_start_site","-",158687953,158687953,1440,1712,391114,"OR6K3","chr1:158687953-158687953",9900,"http://genome.ucsc.edu/cgi-bin/hgTracks?hgsid=149178979&clade=mammal&org=Human&db=hg19&position=chr1:158687953-158687953&pix=800&Submit=submit","olfactory receptor, family 6, subfamily K, member 3","NM_001005327","OR1-18"
