name,description,pathway
BRCA1,breast cancer 1  early onset,Cell_Cycle
CCNF,cyclin F,Cell_Cycle
RAD9A,RAD9 homolog A (S. pombe),Cell_Cycle
TP53,tumor protein p53,Cell_Cycle
ALX1,ALX homeobox 1,Complete_Homeobox_(HOX)_Genes
ALX4,ALX homeobox 4,Complete_Homeobox_(HOX)_Genes
CDX2,caudal type homeobox 2,Complete_Homeobox_(HOX)_Genes
DLX1,distal-less homeobox 1,Complete_Homeobox_(HOX)_Genes
DLX5,distal-less homeobox 5,Complete_Homeobox_(HOX)_Genes
DLX6,distal-less homeobox 6,Complete_Homeobox_(HOX)_Genes
EMX1,empty spiracles homeobox 1,Complete_Homeobox_(HOX)_Genes
EN1,engrailed homeobox 1,Complete_Homeobox_(HOX)_Genes
HOXA11,homeobox A11,Complete_Homeobox_(HOX)_Genes
HOXA13,homeobox A13,Complete_Homeobox_(HOX)_Genes
HOXA2,homeobox A2,Complete_Homeobox_(HOX)_Genes
HOXA4,homeobox A4,Complete_Homeobox_(HOX)_Genes
HOXA5,homeobox A5,Complete_Homeobox_(HOX)_Genes
HOXA7,homeobox A7,Complete_Homeobox_(HOX)_Genes
HOXA9,homeobox A9,Complete_Homeobox_(HOX)_Genes
HOXB2,homeobox B2,Complete_Homeobox_(HOX)_Genes
HOXB3,homeobox B3,Complete_Homeobox_(HOX)_Genes
HOXB4,homeobox B4,Complete_Homeobox_(HOX)_Genes
HOXB6,homeobox B6,Complete_Homeobox_(HOX)_Genes
HOXB7,homeobox B7,Complete_Homeobox_(HOX)_Genes
HOXB8,homeobox B8,Complete_Homeobox_(HOX)_Genes
HOXC10,homeobox C10,Complete_Homeobox_(HOX)_Genes
HOXC11,homeobox C11,Complete_Homeobox_(HOX)_Genes
HOXC12,homeobox C12,Complete_Homeobox_(HOX)_Genes
HOXC13,homeobox C13,Complete_Homeobox_(HOX)_Genes
HOXD1,homeobox D1,Complete_Homeobox_(HOX)_Genes
HOXD10,homeobox D10,Complete_Homeobox_(HOX)_Genes
HOXD11,homeobox D11,Complete_Homeobox_(HOX)_Genes
HOXD12,homeobox D12,Complete_Homeobox_(HOX)_Genes
HOXD3,homeobox D3,Complete_Homeobox_(HOX)_Genes
HOXD9,homeobox D9,Complete_Homeobox_(HOX)_Genes
ISL1,ISL LIM homeobox 1,Complete_Homeobox_(HOX)_Genes
LBX1,ladybird homeobox 1,Complete_Homeobox_(HOX)_Genes
LBX2,ladybird homeobox 2,Complete_Homeobox_(HOX)_Genes
MIXL1,Mix1 homeobox-like 1 (Xenopus laevis),Complete_Homeobox_(HOX)_Genes
MSX2,msh homeobox 2,Complete_Homeobox_(HOX)_Genes
PHOX2A,paired-like homeobox 2a,Complete_Homeobox_(HOX)_Genes
PHOX2B,paired-like homeobox 2b,Complete_Homeobox_(HOX)_Genes
PITX3,paired-like homeodomain 3,Complete_Homeobox_(HOX)_Genes
BCL6,B-cell CLL/lymphoma 6,Complete_Human_Inflammatory_Response_&_Autoimmunity
CD276,CD276 molecule,Complete_Human_Inflammatory_Response_&_Autoimmunity
CXCL5,chemokine (C-X-C motif) ligand 5,Complete_Human_Inflammatory_Response_&_Autoimmunity
IL10RB,interleukin 10 receptor  beta,Complete_Human_Inflammatory_Response_&_Autoimmunity
IL17RA,interleukin 17 receptor A,Complete_Human_Inflammatory_Response_&_Autoimmunity
IL4R,interleukin 4 receptor,Complete_Human_Inflammatory_Response_&_Autoimmunity
IL6ST,interleukin 6 signal transducer (gp130  oncostatin M receptor),Complete_Human_Inflammatory_Response_&_Autoimmunity
INHBA,inhibin  beta A,Complete_Human_Inflammatory_Response_&_Autoimmunity
IRF1,interferon regulatory factor 1,Complete_Human_Inflammatory_Response_&_Autoimmunity
LTB4R,leukotriene B4 receptor,Complete_Human_Inflammatory_Response_&_Autoimmunity
NOD1,nucleotide-binding oligomerization domain containing 1,Complete_Human_Inflammatory_Response_&_Autoimmunity
PAX1,paired box 1,Complete_Human_Inflammatory_Response_&_Autoimmunity
RELA,v-rel reticuloendotheliosis viral oncogene homolog A (avian),Complete_Human_Inflammatory_Response_&_Autoimmunity
S1PR3,sphingosine-1-phosphate receptor 3,Complete_Human_Inflammatory_Response_&_Autoimmunity
SOCS1,suppressor of cytokine signaling 1,Complete_Human_Inflammatory_Response_&_Autoimmunity
TH1L,TH1-like (Drosophila),Complete_Human_Inflammatory_Response_&_Autoimmunity
TIRAP,toll-interleukin 1 receptor (TIR) domain containing adaptor protein,Complete_Human_Inflammatory_Response_&_Autoimmunity
TLR5,toll-like receptor 5,Complete_Human_Inflammatory_Response_&_Autoimmunity
TOLLIP,toll interacting protein,Complete_Human_Inflammatory_Response_&_Autoimmunity
TRAF2,TNF receptor-associated factor 2,Complete_Human_Inflammatory_Response_&_Autoimmunity
AKT1,v-akt murine thymoma viral oncogene homolog 1,Complete_Human_Tumor_Suppressor_Genes
